,d1,d2,d3,d4,d5,d6
0,24.432,17.293,22.861,13.554,12.217,26.02
1,20.347,13.856,21.673,16.929,19.821,25.346
2,23.825,15.524,21.75,16.931,7.5323,21.583
3,22.862,20.812,20.712,7.7814,16.595,23.263
4,22.847,16.763,22.319,12.862,21.501,24.858
5,22.218,9.6357,21.26,15.141,21.471,23.443
6,23.397,17.301,23.095,13.921,7.4701,24.51
7,22.217,18.428,21.623,13.358,16.931,23.226
8,21.912,13.773,21.128,15.096,15.272,23.857
9,22.663,20.09,23.66,12.47,9.2072,19.716
10,21.826,23.723,22.584,12.218,7.6819,23.509
11,21.711,20.114,24.065,13.358,12.218,20.505
12,19.459,20.244,22.321,11.356,16.3,26.67
13,19.207,20.183,22.592,12.863,22.388,16.298
14,19.574,23.332,23.531,11.249,13.92,14.523
15,26.299,9.8318,22.663,13.356,12.218,18.281
16,27.824,22.105,24.429,12.862,14.522,9.7958
17,25.001,22.934,23.463,12.218,15.596,9.8158
18,7.7798,13.281,22.56,13.358,12.47,17.608
19,18.75,17.349,22.13,12.471,16.365,18.083
20,23.903,16.077,20.898,12.863,12.218,19.522
21,24.259,20.136,21.593,14.367,22.048,17.506
22,24.428,17.978,21.291,14.367,22.749,15.096
23,26.119,17.847,22.56,13.802,14.366,18.106
24,29.952,21.101,19.31,12.389,15.872,17.321
25,23.395,19.227,22.048,13.358,14.721,17.532
26,25.86,18.975,21.249,13.358,18.281,20.517
27,11.147,17.623,21.419,15.398,9.3776,17.496
28,22.568,20.575,24.435,13.358,13.92,15.228
29,20.906,13.968,21.711,13.554,24.922,19.102
30,22.533,15.979,22.779,15.482,24.265,16.839
31,26.442,13.483,24.264,13.921,24.638,17.188
32,27.995,16.087,23.343,12.471,22.952,18.826
33,27.472,14.789,21.93,13.289,24.177,19.101
34,27.766,16.873,23.949,12.218,24.964,17.507
35,23.38,16.96,24.263,13.358,22.386,18.469
36,25.543,20.956,23.081,12.389,24.041,17.805
37,27.633,17.974,23.507,13.92,24.088,17.506
38,27.17,20.484,23.716,14.259,23.463,18.672
39,27.335,19.405,24.001,13.921,24.121,18.197
40,25.043,19.682,24.481,13.921,24.692,17.781
41,26.232,17.474,22.261,13.29,24.428,16.197
42,25.56,17.055,22.218,13.358,23.508,16.872
43,25.422,5.6253,21.758,12.218,23.081,18.083
44,25.77,18.217,23.583,14.367,22.584,18.612
45,25.362,11.698,23.078,13.921,22.663,18.084
46,27.171,17.993,22.13,12.471,23.014,19.097
47,27.762,6.712,24.176,12.471,19.574,16.842
